run_id,state,circuit_depth,cx_count,bin,phase,prob_raw,prob_mitigated,prob_noisy_sim,err_raw,err_mitigated,err_noisy_sim
aggregated,uniform,219,245,8,0.5,0.4868977864583333,0.4868977864583333,0.46255289713541664,0.006294747278407451,0.006294747278407451,0.006924222006248196
aggregated,uniform,219,245,13,0.8125,0.23860677083333334,0.23860677083333334,0.22667643229166667,0.004406571084206017,0.004406571084206017,0.004847228192626619
aggregated,uniform,219,245,3,0.1875,0.23234049479166666,0.23234049479166666,0.22072347005208331,0.004348323570114761,0.004348323570114761,0.004783155927126238
aggregated,uniform,219,245,9,0.5625,0.010986328125,0.010986328125,0.01043701171875,0.0009455525747576701,0.0009455525747576701,0.001040107832233437
aggregated,uniform,219,245,7,0.4375,0.010335286458333334,0.010335286458333334,0.009818522135416667,0.0009171083715482295,0.0009171083715482295,0.0010088192087030524
1,uniform,219,245,13,0.8125,0.2275390625,0.238916015625,0.216162109375,0.006550678294447006,0.006550678294447006,0.007205746123891707
1,uniform,219,245,8,0.5,0.493896484375,0.51859130859375,0.46920166015625,0.007811917901705206,0.007811917901705206,0.008593109691875727
1,uniform,219,245,3,0.1875,0.235107421875,0.24686279296875002,0.22335205078124998,0.006626030323299602,0.006626030323299602,0.007288633355629563
1,uniform,219,245,7,0.4375,0.010986328125,0.01153564453125,0.01043701171875,0.0016287238521477897,0.0016287238521477897,0.0017915962373625687
1,uniform,219,245,1,0.0625,0.000732421875,0.0007690429687500001,0.0006958007812499999,0.000422709080916316,0.000422709080916316,0.0004649799890079476
1,uniform,219,245,14,0.875,0.002685546875,0.00281982421875,0.00255126953125,0.0008086348439108128,0.0008086348439108128,0.0008894983283018941
1,uniform,219,245,11,0.6875,0.00244140625,0.0025634765625,0.0023193359375,0.0007710974362757729,0.0007710974362757729,0.0008482071799033503
1,uniform,219,245,9,0.5625,0.01220703125,0.0128173828125,0.0115966796875,0.0017157658496131148,0.0017157658496131148,0.0018873424345744265
1,uniform,219,245,2,0.125,0.0009765625,0.001025390625,0.000927734375,0.00048804277318479847,0.00048804277318479847,0.0005368470505032783
1,uniform,219,245,5,0.3125,0.001708984375,0.0017944335937500001,0.0016235351562499999,0.0006453831959243628,0.0006453831959243628,0.0007099215155167991
1,uniform,219,245,0,0.0,0.000732421875,0.0007690429687500001,0.0006958007812499999,0.000422709080916316,0.000422709080916316,0.0004649799890079476
1,uniform,219,245,15,0.9375,0.000732421875,0.0007690429687500001,0.0006958007812499999,0.000422709080916316,0.000422709080916316,0.0004649799890079476
1,uniform,219,245,6,0.375,0.0029296875,0.0030761718750000003,0.0027832031249999997,0.0008444881654065986,0.0008444881654065986,0.0009289369819472585
1,uniform,219,245,12,0.75,0.00390625,0.0041015625,0.0037109375,0.0009746532850751533,0.0009746532850751533,0.0010721186135826688
1,uniform,219,245,4,0.25,0.00244140625,0.0025634765625,0.0023193359375,0.0007710974362757729,0.0007710974362757729,0.0008482071799033503
1,uniform,219,245,10,0.625,0.0009765625,0.001025390625,0.000927734375,0.00048804277318479847,0.00048804277318479847,0.0005368470505032783
2,uniform,219,245,13,0.8125,0.246337890625,0.25865478515625,0.23402099609375,0.006732463009238015,0.006732463009238015,0.007405709310161817
2,uniform,219,245,8,0.5,0.478271484375,0.5021850585937501,0.45435791015625,0.0078051195076998085,0.0078051195076998085,0.00858563145846979
2,uniform,219,245,3,0.1875,0.233154296875,0.24481201171875,0.22149658203125,0.006606869551788257,0.006606869551788257,0.007267556506967083
2,uniform,219,245,9,0.5625,0.009765625,0.01025390625,0.00927734375,0.001536522933981214,0.001536522933981214,0.0016901752273793356
2,uniform,219,245,7,0.4375,0.010009765625,0.010510253906250001,0.009509277343749999,0.0015554191288177379,0.0015554191288177379,0.0017109610416995119
2,uniform,219,245,12,0.75,0.003173828125,0.00333251953125,0.00301513671875,0.0008788635322998015,0.0008788635322998015,0.0009667498855297817
2,uniform,219,245,6,0.375,0.001708984375,0.0017944335937500001,0.0016235351562499999,0.0006453831959243628,0.0006453831959243628,0.0007099215155167991
2,uniform,219,245,2,0.125,0.00146484375,0.0015380859375000002,0.0013916015624999998,0.0005975817933171346,0.0005975817933171346,0.000657339972648848
2,uniform,219,245,10,0.625,0.00390625,0.0041015625,0.0037109375,0.0009746532850751533,0.0009746532850751533,0.0010721186135826688
2,uniform,219,245,4,0.25,0.00244140625,0.0025634765625,0.0023193359375,0.0007710974362757729,0.0007710974362757729,0.0008482071799033503
2,uniform,219,245,11,0.6875,0.002197265625,0.0023071289062500003,0.0020874023437499997,0.0007316167697948277,0.0007316167697948277,0.0008047784467743106
2,uniform,219,245,5,0.3125,0.001953125,0.00205078125,0.00185546875,0.0006898592868321115,0.0006898592868321115,0.0007588452155153227
2,uniform,219,245,1,0.0625,0.000732421875,0.0007690429687500001,0.0006958007812499999,0.000422709080916316,0.000422709080916316,0.0004649799890079476
2,uniform,219,245,14,0.875,0.002685546875,0.00281982421875,0.00255126953125,0.0008086348439108128,0.0008086348439108128,0.0008894983283018941
2,uniform,219,245,0,0.0,0.001220703125,0.00128173828125,0.00115966796875,0.0005455817317288437,0.0005455817317288437,0.0006001399049017282
2,uniform,219,245,15,0.9375,0.0009765625,0.001025390625,0.000927734375,0.00048804277318479847,0.00048804277318479847,0.0005368470505032783
3,uniform,219,245,8,0.5,0.488525390625,0.51295166015625,0.46409912109374996,0.00781044243748461,0.00781044243748461,0.008591486681233072
3,uniform,219,245,13,0.8125,0.241943359375,0.25404052734375,0.22984619140624998,0.006691565101904215,0.006691565101904215,0.007360721612094637
