s,empirical_prob,theoretical_prob,error
2,0.03299150281252625,0.03299150281252628,3.469446951953614e-17
3,0.02159321892578288,0.021593218925782892,1.3877787807814457e-17
4,0.0020619689257828974,0.002061968925782896,1.3010426069826053e-18
5,0.00134957618286143,0.0013495761828614318,1.951563910473908e-18
